Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points,Pic_Num
0,735455.7965483873,3752118.263580645,289.59009677419346,0.7713225806451612,-84.45413801609676,33.8831569633871,31,303
1,735455.5850641025,3752118.189102564,288.66989743589744,0.7748717948717948,-84.45414032158973,33.88315633925641,78,303
2,735455.4853243245,3752118.1582702706,288.08913513513517,0.7772702702702703,-84.45414140770268,33.88315608381081,37,303
3,735374.0254210527,3752248.719684211,285.3527105263158,0.8319605263157893,-84.45498647759212,33.88435065488158,76,334
4,735180.6860857144,3752517.632928572,286.45295714285714,0.8133,-84.45700324384286,33.88681676254286,70,401
5,735151.3427790698,3752555.430058139,286.2571395348837,0.8133953488372091,-84.45731014683723,33.887163867453495,86,410
6,735151.1798095239,3752555.29204762,285.7532380952381,0.8022857142857143,-84.45731194590476,33.88716266028572,21,410
7,735053.2680576922,3752725.2850192306,278.7690384615384,0.8260384615384614,-84.45832429509618,33.888716166826924,52,450
8,735061.8756274511,3752892.0834509814,268.4206470588235,0.8450588235294116,-84.45818669352941,33.89021713094118,51,486
9,735061.901875,3752891.983333333,269.08412500000003,0.8338333333333333,-84.45818643625,33.890216222666666,24,486
10,735090.081032787,3752936.9153278684,267.2233606557377,0.8399344262295083,-84.45786996895085,33.89061478291803,61,497
11,735170.2701000001,3753016.3530333336,267.643,0.8314000000000001,-84.4569823436,33.891312639666666,30,519
12,735364.1480925926,3753175.973777778,267.82103703703706,0.822925925925926,-84.45484490583337,33.892707566351845,54,570
13,735593.4422328767,3753410.730027397,270.2472191780822,0.8292191780821917,-84.452304601,33.89477151649315,73,635
14,735818.6437333333,3753661.0377,271.5453,0.7828666666666668,-84.44980421980001,33.89697644386666,30,703
15,735821.9094615385,3753672.806269231,281.92578846153845,0.7669807692307692,-84.44976577565384,33.897081749538465,52,705
16,735821.9962083333,3753672.8136875,281.00083333333333,0.7695208333333334,-84.44976483670833,33.897081796291666,48,705
17,735822.0457200002,3753672.85294,280.10143999999997,0.79342,-84.44976429056,33.89708213888,50,705
18,735822.1014181816,3753672.906472727,279.1524727272727,0.804090909090909,-84.4497636744727,33.89708260916364,55,705
19,735822.1334736841,3753672.9650701755,278.18415789473687,0.8141929824561404,-84.44976331189474,33.89708312949123,57,705
20,735821.1167647057,3753673.8070588238,278.0562500000001,0.7848235294117645,-84.44977407242646,33.89709094330882,68,705
21,735821.094214286,3753673.6923428574,279.4640857142857,0.7630428571428572,-84.4497743462,33.89708991572857,70,705
22,735821.2320000001,3753673.649617647,278.72402941176466,0.7800000000000001,-84.44977286944118,33.89708949923529,34,705
23,735821.1668260868,3753673.42126087,281.9109565217391,0.7501304347826087,-84.44977363508696,33.89708745530435,23,705
24,735821.0843600002,3753673.5667000003,280.98876,0.74772,-84.44977448632002,33.897088784880005,50,705
25,735821.081972973,3753673.6331891892,280.255972972973,0.7535945945945945,-84.44977449551351,33.8970893851892,37,705
26,735820.3613442624,3753674.464098361,278.64567213114753,0.7317704918032787,-84.44978205786883,33.89709703262295,61,705
27,735820.463,3753674.24195238,279.8265714285714,0.7198095238095238,-84.44978101957142,33.89709500852381,21,705
28,735820.2261363637,3753674.6742954548,277.88025000000005,0.7391136363636364,-84.44978346225001,33.89709895693182,44,705
29,736016.909888889,3753883.1173055563,267.8243611111111,0.8352777777777778,-84.4476023331389,33.898933010027775,36,763
30,736129.3287142857,3753984.139828571,262.78105714285715,0.8427714285714286,-84.44636048831427,33.89981804197142,35,793
31,736339.7564285712,3754103.758666667,256.56514285714286,0.845857142857143,-84.44405460433333,33.90084863357143,21,842
32,736366.3264545455,3754122.48715909,262.18081818181815,0.7661590909090911,-84.44376246829545,33.90101141738637,44,848
33,736366.3616199999,3754122.59786,261.27189999999996,0.7709199999999999,-84.44376205786,33.90101240668,50,848
34,736366.4596938777,3754122.5932244896,260.36997959183674,0.7906122448979592,-84.44376100014286,33.901012342469386,49,848
35,736366.5444615384,3754122.6107307696,259.48451923076925,0.8004038461538462,-84.4437600786923,33.90101248130769,52,848
36,736366.5947142858,3754122.7045,258.54026785714285,0.8198392857142858,-84.44375951096428,33.90101331544643,56,848
37,736365.9396363636,3754123.2753030304,262.07866666666666,0.7374545454545454,-84.4437664357576,33.901018604545456,33,848
38,736365.9124814813,3754123.5084629627,261.15007407407404,0.7347407407407408,-84.44376666588889,33.90102071175926,54,848
39,736365.9895238093,3754123.5391269843,260.23174603174607,0.753063492063492,-84.44376582601589,33.90102097103174,63,848
40,736366.0857424242,3754123.545,259.2991969696969,0.7753787878787879,-84.44376478439393,33.9010210021212,66,848
41,736366.1755,3754123.557444445,258.34646296296296,0.806037037037037,-84.44376381127778,33.90102109357407,54,848
42,736365.6411153846,3754124.226192307,260.24496153846155,0.7230000000000001,-84.44376940623077,33.90102723984615,26,848
43,736365.6452321429,3754124.3870892855,259.4145535714286,0.7308214285714285,-84.44376931825,33.90102868848214,56,848
44,736365.6685972222,3754124.504388889,258.61245833333334,0.7541527777777777,-84.443769032875,33.901029740125,72,848
45,736365.7762608697,3754124.3993913047,258.0539565217391,0.7844782608695651,-84.44376789952175,33.90102876965218,23,848
46,736365.3936206897,3754125.16,258.1319655172414,0.7373448275862069,-84.44377182913794,33.901035708172415,29,848
47,736628.7962380952,3754242.959761904,252.69061904761904,0.7791904761904763,-84.44089395690474,33.90203795923809,21,906
48,736628.3802916665,3754243.91725,252.09008333333335,0.7876250000000001,-84.44089819379167,33.90204668091666,24,906
49,736644.5695652175,3754252.386086957,252.05060869565213,0.752,-84.44072098013044,33.902119348739134,23,910
50,736660.8783913043,3754259.0955652175,254.52378260869563,0.794,-84.44054294926086,33.902176137217396,23,913
51,736660.8336956522,3754259.229913043,251.61391304347825,0.792,-84.44054339543477,33.90217735752174,23,913
52,736660.4103846154,3754260.0442692307,254.3390769230769,0.8038461538461538,-84.44054774938462,33.90218479092307,26,913
53,736660.4101999999,3754260.05692,253.37420000000003,0.8091200000000002,-84.44054774864,33.90218490396,25,913
54,736660.4206249999,3754260.0541666667,252.44795833333333,0.8219166666666666,-84.44054763725,33.90218487766667,24,913
55,736660.3543333333,3754260.1849166662,251.53662500000004,0.8213750000000001,-84.44054831800001,33.9021860705,24,913
56,736748.1067037039,3754304.0247037034,254.2689259259259,0.7664444444444446,-84.43958830222222,33.9025613512963,27,933
57,736847.7985238096,3754349.944047619,256.2149047619048,0.7549047619047619,-84.43849870628573,33.902952676,21,955
58,736847.6910434783,3754350.1535217394,257.23073913043476,0.751782608695652,-84.43849980995653,33.90295458826087,23,955
59,736847.2855454545,3754350.9568181825,256.4506363636364,0.7691818181818182,-84.43850397331819,33.90296191609091,22,955
60,736847.2305714287,3754351.0962857143,255.5880476190476,0.7664285714285716,-84.43850453161906,33.90296318552381,21,955
61,736847.2122857142,3754351.0878095236,257.4382380952381,0.7684285714285715,-84.43850473157143,33.90296311357143,21,955
62,736846.8198095238,3754351.885428571,256.4278095238095,0.7761428571428571,-84.43850875642855,33.902970388142855,21,955
63,736855.041952381,3754357.0241428576,257.21123809523806,0.8054761904761905,-84.43841852823809,33.90301483961904,21,957
64,736855.0030476191,3754357.0451904763,256.39504761904766,0.8079047619047619,-84.43841894409523,33.903015038190475,21,957
65,737019.8869565219,3754437.6630869573,263.2188695652174,0.824913043478261,-84.43661553630434,33.90370432030434,23,994
66,737132.6112258065,3754496.399548386,271.2355806451613,0.7946129032258064,-84.43538162864515,33.90420816622581,31,1019
67,737132.7102142858,3754496.4094285714,270.3207857142857,0.8042857142857143,-84.435380557,33.90420823371429,28,1019
68,737132.7812000001,3754496.44828,269.46964,0.8098000000000001,-84.43537977979999,33.90420856792,25,1019
69,737132.8661612903,3754496.4745806446,268.59316129032254,0.817032258064516,-84.43537885412903,33.90420878532258,31,1019
70,737132.8934333333,3754496.616633333,267.7104,0.8260333333333332,-84.43537852113333,33.90421005946667,30,1019
71,737132.1717941175,3754497.354882353,271.2396176470588,0.7930882352941178,-84.43538611944119,33.90421687285294,34,1019
72,737132.271918919,3754497.3790270267,270.2703243243243,0.8071351351351352,-84.43538503199999,33.90421706864864,37,1019
73,737132.3506756757,3754497.418027027,269.3653243243244,0.8148378378378379,-84.43538417075676,33.90421740205405,37,1019
74,737132.4357352941,3754497.4436764703,268.4623235294117,0.8191764705882352,-84.4353832437647,33.904217613441176,34,1019
75,737132.5293333333,3754497.5077575757,267.23900000000003,0.8324848484848484,-84.43538221512122,33.904218170727276,33,1019
76,737132.3229565219,3754497.7879565214,267.9264347826087,0.8283478260869565,-84.43538436930433,33.90422074130436,23,1019
77,737131.7794333332,3754498.192366667,271.19446666666664,0.7924333333333333,-84.43539013296665,33.90422450773333,30,1019
78,737131.834,3754498.2788857142,270.3196,0.8036,-84.43538951977143,33.90422527462857,35,1019
79,737131.8928095239,3754498.3772619045,269.36619047619047,0.8126428571428571,-84.435388858,33.9042261477381,42,1019
80,737131.9314324325,3754498.49627027,268.5064864864865,0.8186486486486487,-84.43538840783785,33.90422721224324,37,1019
81,737132.007512195,3754498.601634147,267.2847317073171,0.8304878048780489,-84.43538755760976,33.904228143414635,41,1019
82,737131.7492424243,3754499.026181818,267.9637272727273,0.824030303030303,-84.43539023372728,33.904232027151515,33,1019
83,737131.3937906977,3754499.22655814,270.4716046511628,0.7978604651162791,-84.43539402100001,33.90423391190697,43,1019
84,737131.464375,3754499.3036249997,269.5482,0.8042250000000001,-84.43539323825,33.904234590575,40,1019
85,737131.4454390244,3754499.5419268296,268.73458536585366,0.8061463414634145,-84.43539337748783,33.904236742853655,41,1019
86,737131.5513170732,3754499.6487317076,267.25385365853657,0.8185609756097563,-84.43539220419511,33.90423768051219,41,1019
87,737131.2426153845,3754500.16975,268.0249423076923,0.8059423076923077,-84.43539539998075,33.904242444942305,52,1019
88,737130.9714186047,3754500.2008139524,270.54176744186043,0.7743720930232558,-84.43539832209302,33.90424278546511,43,1019
89,737131.0622619048,3754500.2019523806,269.66197619047614,0.7850952380952382,-84.43539734028572,33.904242774857146,42,1019
90,737130.940403509,3754500.6321929824,268.86543859649123,0.7806315789473685,-84.43539854092982,33.90424667921053,57,1019
91,737131.063576923,3754500.71925,267.2198846153846,0.8027115384615383,-84.43539718651924,33.90424743557692,52,1019
92,737130.5746415093,3754501.0896037733,270.3941320754717,0.7448490566037735,-84.43540236905659,33.9042508820566,53,1019
93,737130.5770727271,3754501.2435636353,269.55032727272726,0.7440545454545455,-84.43540230178182,33.90425226974545,55,1019
94,737130.7287761194,3754501.2259253734,268.08150746268655,0.7744477611940298,-84.43540066735822,33.904252076731346,67,1019
95,737130.4234642858,3754501.703535714,268.7872142857143,0.7363928571428572,-84.43540383742857,33.90425644821429,56,1019
96,737130.5011666667,3754501.8445238103,267.23286904761903,0.7727023809523809,-84.43540295967857,33.90425770107143,84,1019
97,737130.2802321428,3754502.14075,267.97760714285715,0.7396250000000001,-84.43540526694643,33.90426041994643,56,1019
98,737130.1438636364,3754502.5868636365,267.1522272727273,0.7525454545454546,-84.43540661954546,33.90426446970456,44,1019
99,737283.3499166667,3754579.487958333,265.8881666666667,0.8006666666666667,-84.43373035762501,33.90492284841667,24,1054
100,737520.7708548389,3754799.2523064516,266.6435967741935,0.8343548387096774,-84.43110542683873,33.90684940882258,62,1118
101,737725.8432499999,3755027.4856785717,273.1600357142857,0.8484999999999998,-84.42882764875,33.908859514750006,28,1180
102,737797.7452258065,3755106.414580645,275.6041612903226,0.7180967741935484,-84.42802929109676,33.909554427548386,31,1201
103,737855.788586207,3755171.1124137933,276.8993103448276,0.8217241379310348,-84.42738453593104,33.91012424410344,29,1219
104,738062.5334838708,3755392.8960967753,284.1741935483871,0.8185806451612903,-84.42509025806451,33.91207578303225,31,1279
105,738272.4806666666,3755577.87648718,290.340358974359,0.8372051282051283,-84.42277125748718,33.91369495476923,39,1336
106,738327.3712285714,3755613.039257142,290.93062857142854,0.8256,-84.4221685256857,33.91399934625715,35,1349
107,738327.6625555557,3755614.6314444444,290.54116666666664,0.7798611111111111,-84.42216494361111,33.91401362561111,36,1349
108,738391.8175319151,3755653.1691702125,291.20582978723405,0.8442765957446808,-84.4214611730851,33.91434632412766,47,1364
109,738391.8032903227,3755653.20683871,290.4210322580645,0.8344838709677419,-84.42146131741934,33.914346665903224,31,1364
110,738459.0944905662,3755688.015962263,291.5516226415094,0.8159433962264152,-84.42072466024528,33.91464505654717,53,1380
111,738523.8985555554,3755717.284981482,292.0251666666667,0.8455740740740741,-84.420016382,33.91489408855556,54,1394
112,738594.8523888888,3755742.706777778,292.83074999999985,0.8353611111111111,-84.41924268550001,33.91510706075,36,1409
113,738666.63753125,3755766.18359375,293.54143750000003,0.83971875,-84.41846053209375,33.91530231446875,32,1424
114,738666.5948333334,3755766.2176249996,292.7708333333333,0.8177499999999999,-84.41846098391666,33.915302630625,24,1424
115,738739.172347826,3755785.235347826,293.22595652173914,0.8273043478260869,-84.41767147465218,33.91545752517391,23,1440
116,738839.10409375,3755805.90284375,294.96059375,0.76884375,-84.41658590059374,33.915621074406246,32,1460
117,739018.1326521739,3755823.934391305,296.140347826087,0.8096521739130437,-84.41464624647826,33.91574291026087,23,1496
118,739056.0349375,3755827.00175,302.56010416666663,0.7363333333333332,-84.41423580533333,33.91576194189583,48,1504
119,739056.1416621621,3755827.1145810816,301.7105945945946,0.7439594594594594,-84.41423462147297,33.91576293474325,74,1504
120,739056.17364,3755827.75528,301.49872,0.7220799999999998,-84.41423410116,33.91576869956,25,1504
